NAME,TYPE,VALUE,FOOTPRINT,DESC,QTY,PN,VEND
C1,CAPACITOR,100uF,THRU,CAP ELECTROLYTIC 10MM x 5MM,1,UES1C221MPM,HIFIC
"C2, C3",CAPACITOR,220uF,THRU,CAP ELECTROLYTIC 10MM x 5MM,2,UES1C161MPM,HIFIC
"C4, C5, C7, C8",CAPACITOR,47uF,THRU,CAP ELECTROLYTIC 8MM x 3.5MM,4,UES1C470MPM,HIFIC
"C6, C9",CAPACITOR,0.1uF,SMD 1206,CERAMIC SMD,2,CL31B104KBCNNNC,FARNELL
D1,DIODE,SK26A,DO-214AC,SK26A SCHOKKY DIODE,1,SK26A,FARNELL
"D2, D3, D4, D5",LED,LED,SMB 1206 LED,SMD LED GREEN,4,599-0281-007F,FARNELL
"J1, J5",SOCKET,,THRU,2.1MM DC SOCKET,1,FC681465,CPC
"J2, J3, J4",TERMINAL,,THRU,5MM TERMINAL BLOCK 2GANG,5,MC24356,CPC
PS1,CONVERTOR,,THRU,30W Â±12V DUAL VOLTAGE REGULATOR,1,MPRA4812LD-30W,FARNELL
"R1, R2, R3, R4",RESISTOR,4K7,SMB 1206,THICK FILM 1% 0.5W,4,ERJP08F4701V,FARNELL
U1,REGULATOR,,TO-263,9V DC REGULATOR L7809,1,L7809ABD2T-TR,FARNELL
U2,REGULATOR,,TO-263,5V DC REGULATOR L7805,1,MC7805BD2TG,FARNELL
PCB1,PCB,,N/A,SYNTH_PWR_MKII,1,,JLCPCB